MAX_ITER,Accuracy
20,0.4
30,0.6
40,0.7
50,0.7333333333333333
60,0.7428571428571429
70,0.7875
80,0.6777777777777778
90,0.68
100,0.7090909090909091
110,0.7
120,0.6615384615384615
130,0.65
140,0.66
150,0.66875
160,0.6647058823529411
170,0.6722222222222223
180,0.6842105263157895
190,0.665
200,0.6714285714285714
210,0.6772727272727272
220,0.6565217391304348
230,0.6583333333333333
240,0.66
250,0.6576923076923077
260,0.6592592592592592
270,0.6571428571428571
280,0.6551724137931034
290,0.6533333333333333
300,0.6580645161290323
310,0.659375
320,0.6575757575757576
330,0.6558823529411765
340,0.6542857142857142
350,0.6527777777777778
360,0.6432432432432432
370,0.6447368421052632
380,0.6461538461538462
390,0.65
400,0.651219512195122
410,0.65
420,0.6488372093023256
430,0.6454545454545455
440,0.6466666666666666
450,0.6456521739130435
460,0.6446808510638298
470,0.64375
480,0.6530612244897959
490,0.646
500,0.6470588235294118
510,0.6461538461538462
520,0.6433962264150943
530,0.6462962962962963
540,0.6472727272727272
550,0.6392857142857142
560,0.6385964912280702
570,0.6431034482758621
580,0.6389830508474577
590,0.64
600,0.639344262295082
610,0.6435483870967742
620,0.6444444444444445
630,0.640625
640,0.6415384615384615
650,0.6424242424242425
660,0.6417910447761194
670,0.6411764705882353
680,0.6478260869565218
690,0.6371428571428571
700,0.647887323943662
710,0.6416666666666667
720,0.636986301369863
730,0.6405405405405405
740,0.636
750,0.6526315789473685
760,0.6545454545454545
770,0.6576923076923077
780,0.660759493670886
790,0.66
800,0.6333333333333333
810,0.6548780487804878
820,0.655421686746988
830,0.6535714285714286
840,0.6470588235294118
850,0.6465116279069767
860,0.6448275862068965
870,0.6431818181818182
880,0.6426966292134831
890,0.64
900,0.6450549450549451
910,0.6380434782608696
920,0.6408602150537634
930,0.6382978723404256
940,0.64
950,0.6385416666666667
960,0.6412371134020619
970,0.6428571428571429
980,0.6434343434343435
990,0.645
1000,0.6495049504950495
1010,0.6480392156862745
1020,0.6427184466019418
1030,0.635576923076923
1040,0.6371428571428571
1050,0.6339622641509434
1060,0.6261682242990654
1070,0.6222222222222222
1080,0.6165137614678899
1090,0.6136363636363636
1100,0.6072072072072072
1110,0.6053571428571428
1120,0.6017699115044248
1130,0.5982456140350877
1140,0.5921739130434782
1150,0.5862068965517241
1160,0.5837606837606838
1170,0.5813559322033899
1180,0.5781512605042017
1190,0.575
1200,0.5702479338842975
1210,0.5663934426229508
1220,0.5650406504065041
1230,0.5596774193548387
1240,0.5544
1250,0.55
1260,0.5456692913385827
1270,0.54296875
1280,0.537984496124031
1290,0.5338461538461539
1300,0.5297709923664122
1310,0.5265151515151515
1320,0.5233082706766917
1330,0.517910447761194
1340,0.5148148148148148
1350,0.5110294117647058
1360,0.5080291970802919
1370,0.5065217391304347
1380,0.5079136690647482
1390,0.5114285714285715
1400,0.5114285714285715
